!infinitiv	wir/sie/Sie	ich	du	er/es/sie	ihr	wir/sie/Sie(past)	ich	du	er/es/sie	ihr	pp	wir/sie/Sie(I)	ich	du	er/es/sie	ihr	wir/sie/Sie(II)	ich	du	er/es/sie	ihr	hifsverb	lecture
lassen	lassen	lasse	lässt	lässt	lasst	ließen	ließ	ließest,ließt	ließ	ließt	gelassen											haben	
laufen	laufen	laufe	läufst	läuft	lauft	liefen	lief	liefst	lieft	lieft	gelaufen											sein	
leben	leben	lebe	lebst	lebt	lebt	lebten	lebte	lebtest	lebte	lebtet	gelebt											haben	
legen	legen	lege	legst	legt	legt	legten	legte	legtest	legte	legtet	gelegt											haben	
lehren	lehren	lehre	lehrst	lehrt	lehrt	lehrten	lehrte	lehrtest	lehrte	lehrtet	gelehrt											haben	
lernen	lernen	lerne,lern	lernst	lernt	lernt	lernten	lernte	lerntest	lerntet	lerntet	gelernt											haben	
lesen	lesen	lese	liest	liest	lest	lasen	las	lastest,last	las	last	gelesen											haben	
lieben	lieben	liebe	liebst	liebt	liebt	liebten	liebte	liebtest	liebte	liebtet	geliebt											haben	
liegen	liegen	liege	liegst	liegt	liegt	lagen	lag	lagst	lag	lagt	gelegen											haben	
lügen	lügen	lüge	lügst	lügt	lügt	logen	log	logst	log	logt	gelogen											haben	
machen	machen	mache	machst	macht	macht	machten	machte	machtest	machte	machtet	gemacht											haben	
meinen	meinen	meine	meinst	meint	meint	meinten	meinte	meintest	meinte	meintet	gemeint											haben	
melken	melken	melke	melkst,milkst	melkt,milkt	melkt	melkten,molken	melkte,molk	melktest,molkst	melkte,molk	molktet,molkt	gemelkt,gemolken											haben	
missen	missen	misse	misst	misst	misst	missten	misste	misstest	misste	misstet	gemisst											haben	
mögen	mögen	mag	magst	mag	mögt	mochten	mochte	mochtest	mochte	mochtet	gemocht											haben	
müssen	müssen	muss	musst	muss	musst	mussten	musste	musstest	musste	musstet	gemusst											haben	
nehmen	nehmen	nehme	nimmst	nimmt	nehmt	nahmen	nahm	nahmst	nahm	nahmt	genommen											haben	
nennen	nennen	nenne	nennst	nennt	nennt	nannten	nannte	nanntest	nannte	nanntet	genannt											haben	
nutzen	nutzen	nutze	nutzt	nutzt	nutzt	nutzten	nutzte	nutztest	nutzte	nutztet	genutzt											haben	
öffnen	öffnen	öffne	öffnest	öffnet	öffnet	öffneten	öffnete	öffnetest	öffnete	öffnetet	geöffnet											haben	
packen	packen	packe	packst	packt	packt	packten	packte	packtest	packte	packtet	gepackt											haben	
passieren	passieren	passiere	passierst	passiert	passiert	passierten	passierte	passiertest	passierte	passiertet	passiert											haben	
rauchen	rauchen	rauche	rauchst	raucht	raucht	rauchten	rauchte	rauchtest	rauchte	rauchtet	geraucht											haben	
reden	reden	rede	redest	redet	redet	redeten	redete	redetest	redete	redetet	geredet											haben	
reichen	reichen	reiche	reichst	reicht	reicht	reichten	reichten	reichtest	reichte	reichtet	gereicht											haben	
reisen	reisen	reise	reist	reist	reist	reisten	reiste	reistest	reiste	reistet	gereist											sein	
rufen	rufen	rufe	rufst	ruft	ruft	riefen	rief	riefst	rief	rieft	geriefen											haben	
sagen	sagen	sage	sagst	sagt	sagt	sagten	sagte	sagtest	sagte	sagtet	gesagt											haben	
schaffen	schaffen	schaffe	schaffst	schafft	schafft	schufen	schuf	schufest	schuf	schufet	geschaffen											haben	
schauen	schauen	schaue	schaust	schaut	schaut	schauten	schaute	schautest	schaute	schautet	geschaut											haben	
schenken	schenken	schenke	schenkst	schenkt	schenkt	schenkten	schenkte	schenktest	schenkte	schenktet	geschenkt											haben	
schlafen	schlafen	schlafe	schläfst	schläft	schlaft	schliefen	schlief	schliefst	schlief	schlieft	geschlafen											haben	
schlafen	schlafen	schlafe	schläfst	schläft	schlaft	schliefen	schlief	schliefst	schlief	schlieft	geschlafen											haben	
schmecken	schmecken	schmecke	schmeckst	schmeckt	schmeckt	schmeckten	schmeckte	schmecktest	schmeckte	schmecktet	geschmeckt											haben	
schreiben	schreiben	schreibe	schreibst	schreibt	schreibt	schrieben	schrieb	schriebst	schriebt	schriebt	geschrieben											haben	
sehen	sehen	sehe	siehst	sieht	seht	sahen	sah	sahst	saht	saht	gesehen											haben	
sein	sind	bin	bist	ist	seid	waren	war	warst	war	wart	gewesen											sein	
setzen	setzen	setze	setzt	setzt	setzt	setzten	setzte	setztest	setzte	setztet	gesetzt											haben	
singen	singen	singe	singst	singt	singt	sangen	sang	sangst	sang	sangt	gesungen											haben	
sitzen	sitzen	sitze	sitzt	sitzt	sitzt	saßen	saß	saßest,saßt	saß	saßt	gesessen											haben	
sollen	sollen	soll	sollst	soll	sollt	sollten	sollte	solltest	sollte	solltet	gesollt											haben	
spielen	spielen	spiele	spielst	spielt	spielt	spielten	spielte	spieltest	spielte	spieltet	gespielt											haben	
spinnen	spinnen	spinne	spinnst	spinnt	spinnt	spannen	spann	spannst	spann	spannt	gesponnen											haben	
sprechen	sprechen	spreche	sprichst	spricht	sprecht	sprachen	sprach	sprachst	sprach	spracht	gesprochen											haben	
stehen	stehen	stehe	stehst	steht	steht	standen	stand	standest,standst	stand	standet	gestanden											haben	
stellen	stellen	stelle	stellst	stellt	stellt	stellten	stellte	stelltest	stellte	stelltet	gestellt											haben	
sterben	sterben	sterbe	stirbst	stirbt	sterbt	starben	starb	starbst	starb	starbt	gestorben											sein	
stimmen	stimmen	stimme	stimmst	stimmt	stimmt	stimmten	stimmte	stimmtest	stimmte	stimmtet	gestimmt											haben	
streben	streben	strebe	strebst	strebt	strebt	strebten	strebte	strebtest	strebte	strebtet	gestrebt											haben	
studieren	studieren	studiere	studierst	studiert	studiert	studierten	studierte	studiertest	studierte	studiertet	studiert											haben	
suchen	suchen	suche	suchst	sucht	sucht	suchten	suchte	suchtest	suchte	suchtet	gesucht											haben	
tanzen	tanzen	tanze	tanzt	tanzt	tanzt	tanzten	tanzte	tanztest	tanzte	tanztet	getanzt											haben	
teilen	teilen	teile	teilst	teilt	teilt	teilten	teilte	teiltest	teilte	teiltet	geteilt											haben	
tragen	tragen	trage	trägst	trägt	tragt	trugen	trug	trugst	trug	trugt	getragen											haben	
trauen	trauen	traue	traust	traut	traut	trauten	traute	trautest	traute	trautet	getraut											haben	
treffen	treffen	treffe	triffst	trifft	trefft	trafen	traf	trafst	traf	traft	getroffen											haben	
treten	treten	trete	trittst	tritt	tretet	traten	trate	tratest,tratst	trat	tratet	getreten											haben	
trinken	trinken	trinke	trinkst	trinkt	trinkt	tranken	trank	trankst	trank	trankt	getrunken											haben	
tun	tun	tue	tust	tut	tut	taten	tat	tatest,tatst	tat	tatet	getan											haben	
üben	üben	übe	übst	übt	übt	übten	übte	übtest	übte	übtet	geübt											haben	
verdienen	verdienen	verdiene	verdienst	verdient	verdient	verdienten	verdiente	verdientest	verdiente	verdientet	verdient											haben	
vergessen	vergessen	vergesse	vergisst	vergisst	vergesst	vergaßen	vergaß	vergaßt	vergaß	vergaßt	vergessen											haben	
vermissen	vermissen	vermisse	vermisst	vermisst	vermisst	vermissen	vermisste	vermisstest	vermisste	vermisstet	vermisst											haben	
verstehen	verstehen	verstehe	verstehst	versteht	versteht	verstanden	verstand	verstandest,verstandst	verstand	verstandet	verstanden											haben	
wachen	wachen	wache	wachst	wacht	wacht	wachten	wachte	wachtest	wachte	wachtet	gewacht											haben	
warten	warten	warte	wartest	wartet	wartet	warteten	wartete	wartetest	wartete	wartetet	gewartet											haben	
waschen	waschen	wasche	wäschst	wäscht	wascht	wuschen	wusch	wuschst	wusch	wuscht	gewaschen											haben	
werden	werden	werde	wirst	wird	werdet	wurden	wurde,ward	wurdest,wardst	wurde,ward	wurdet	geworden,worden											sein	
wissen	wissen	weiß	weißt	weiß	wisst	wussten	wusste	wusstest	wusste	wusstet	gewusst											haben	
wohnen	wohnen	wohne	wohnst	wohnt	wohnt	wohnten	wohnte	wohntest	wohnte	wohntet	gewohnt											haben	
wollen	wollen	will	willst	will	wollt	wollten	wollte	wolltest	wollte	wolltet	gewollt											haben	
wünschen	wünschen	wünsche	wünschst,wünscht	wünscht	wünscht	wünschten	wünschte	wünschtest	wünschte	wünschtet	gewünscht											haben	
zahlen	zahlen	zahle	zahlst	zahlt	zahlt	zahlten	zahlte	zahltest	zahlte	zahltet	gezahlt											haben	
zählen	zählen	zähle	zählst	zählt	zählt	zählten	zählte	zähltest	zählte	zähltet	gezählt											haben	
zeigen	zeigen	zeige	zeigst	zeigt	zeigt	zeigten	zeigte	zeigtest	zeigte	zeiget	gezeigt											haben	
ziehen	ziehen	ziehe	ziehst	zieht	zieht	zogen	zog	zogst	zog	zogt	gezogen											haben	
backen	backen	backe	bäckst	bäckt	backt	buken	buk	bukst	bug	bugt	gebacken											haben	
